A Absolem,0,0
A Alam,33,137.5
A Ashish Reddy,12.48875,134.98
A Aswin Crist,27,90
A Ayre,0,0
A Bagai,23.175,89.12
A Balbirnie,8.276666667,61.17
A Bali,24.0575,113.43
A Baloria,17.33,98.11
A Bhatt,12.8,98.46
A Bhattarai,0.666666667,22.22
A Bonora,21.8,99.175
A Bramble,8.75,107.69
A Carter,0,25
A Chandila,7.915,78.7875
A Chopra,21.3675,85.1025
A Choudhary,6.333333333,53.17
A Dananjaya,6.1,23.18
A Dey,11,51.56
A Engelbrecht,2.5,71.42
A Eusebe,0,0
A Ferreira,0,0
A Flintoff,22.4975,134.745
A Gqamane,16.35,133.14
A Jacobs,10.448,84.238
A Jadhav,0,0
A Javid,22.45,115.3175
A Jayasundera,15.5,99.085
A Julka,44,144.26
A Jund,0,200
A Kapil,5.566,114.586
A Karn,2,28.57
A Khan,2.666666667,69.79666667
A Konwar,0.5,50
A Kumble,7.833333333,71.52
A Kush,0,35
A Lyth,16.19,107.62
A Malhotra,24,120
A Mallick,19.375,103.495
A Mandhani,5,166.66
A Mangaraj,0.5,75
A Mannu,18.665,125.38
A Maparura,0,0
A Maregwede,27.08333333,98.28333333
A Martin,0.4,8
A Mazzoncini,0,35.71
A McGrath,33.2425,110.505
A Mehmood,0,0
A Mgijima,13,100.6525
A Mishra,12.208,86.618
A Mithun,4.471428571,95.51428571
A Mnci,0,0
A Mohammed,21,70
A Mukund,28.43333333,105.9033333
A Mutumbami,0,250
A Myoli,0,46.02666667
A Nehra,4.267777778,48.32777778
A Nel,10.415,136.2925
A Nortje,0,0
A Ollewagen,0,0
A Parashar,17.5,94.59
A Parkar,0,125
A Phillip,0,0
A Poulose,10.41666667,161.62
A Prakash,0,0
A Pratap Singh,0,0
A Premaratne,0,48.71666667
A Rajp,11.8,120.4
A Rakesh,7.75,57.29
A Rana,1.833333333,25.61333333
A Rasemene,0,0
A Rasool,3.665,45.83
A Ratra,12.8325,91.5975
A Rawat,34.6,110.89
A Richardson,0,0
A Rideegammanagedera,8.165,68.87
A Roberts,0,0
A Sakuja,5.666666667,74.44333333
A Sanford,0,0
A Shahzad,6.937142857,95.41
A Sheikh,5.25,52.5
A Singh,1.776666667,42.94666667
A Sinha,10.63833333,83.45
A Symonds,38.49,131.21
A Thilanchana,9.165,100.83
A Thyagarajan,86,110.25
A Uniyal,4,57.14
A Vala,17.1925,93.6725
A Verma,0.3325,70.535
A Zampa,3.238,92.716
A Ziraba,7.6,49.44666667
AA Ansari,17.33333333,150.0866667
AA Barot,28.475,117.57
AA Bhandari,13.12,120.24
AA Bilakhia,15,81.32
AA Chavan,5.982,131.52
AA Darekar,7.166666667,49.87333333
AA Das,13.3725,64.32
AA Gani,8.5,77.12
AA Herwadkar,11.755,112.83
AA Inham,0,116.66
AA Jhunjhunwala,16.9775,97.695
AA Joshi,11.77666667,114.66
AA Kazi,0,72.22
AA Khod,14.2,97.26
AA Malek,25,89.435
AA Mulla,2.75,57.89
AA Muzumdar,15.08,88.615
AA Nandi,18.21666667,62.82833333
AA Noffke,15.81,136.4633333
AA Obanda,24.22571429,104.0157143
AA Sanklecha,7,155.55
AA Sarwate,2,66.66
AA Sheth,0,0
AA Singh,10.9775,95.825
AA Waghmode,26.22166667,117.935
AA Wakhare,2.5,58.752
AAA Amsterdam,22.5,86.53
AAAP Dias,0,100
Aamer Ijaz,14.16,100
Aamer Sajjad,16.8325,77.705
Aamer Shehzad,2,25
Aamer Yamin,16.85,110.348
Aamir Kaleem,17.61666667,110.42
Aaqib Sulehri,7.165,107.45
Aariz Kamal,0,0
AAS de Alwis,20.5,184.5266667
AAS Silva,8,39.22833333
AB Agarkar,17.075,120.7266667
AB Barath,26.698,114.066
AB Chawla,4.25,47.22
AB de Villiers,32.72888889,140.4466667
AB Dinda,3.75,53.18777778
AB Emmanuel,9,81.81
AB Fudadin,25.875,87.5
AB McDonald,22.07444444,101.0677778
AB Patel,0,0
AB Sagar,0,0
AB Sharma,2,28.57
AB Sonkar,1,18.18
AB Tanwar,0,0
AB Zala,0,0
Abdul Ameer,1.5,56.665
Abdul Ghaffar,0,0
Abdul Jabbar,0,100
Abdul Majeed,16,88.88
Abdul Manan,0,14.28
Abdul Qadir,0,0
Abdul Rauf,5,29.41
Abdul Razzaq,25.78166667,127.88
Abdul Rehman,5.31,65.585
Abdul Shakoor,19.24,103.365
Abdullah Al Mamun,10,43.475
Abdullah Jan,7,77.77
Abdullah Mazari,0,0
Abdur Rauf,4.678571429,69.10142857
Abdur Razzak,6.645,60.7925
Abdur Rehman,5.73,80.18333333
Abhinav Kumar,56,186.66
Abhishek Bhat,1.66,71.42
Abhishek Yadav,32.5,116.07
Abid Ali,19.39416667,94.21666667
Abid Nabi,12.1375,126.2625
Abid Salam,0,0
ABT Lakshitha,4.875,58.7575
Abu Hider,7,205.71
Abu Jayed,0,0
Abubakar Khan,0,0
Abul Hasan,7.6,93.96
