A Absolem,5.725,20.8
A Alam,6.66,54
A Ashish Reddy,8.39,17.5
A Aswin Crist,6.82,11.3
A Ayre,0,0
A Bagai,0,0
A Balbirnie,0,0
A Bali,6.8775,10.075
A Baloria,7.33,27
A Bhatt,0,0
A Bhattarai,4.56,20
A Bonora,0,0
A Bramble,0,0
A Carter,8.404,12.96
A Chandila,6.4975,19.725
A Chopra,0,0
A Choudhary,7.03,19.96666667
A Dananjaya,6.72,21.34
A Dey,0,0
A Engelbrecht,8.05,22.8
A Eusebe,8.5,36
A Ferreira,0,0
A Flintoff,8.955,21.825
A Gqamane,10.408,33.08
A Jacobs,4.342,4.2
A Jadhav,0,0
A Javid,7.44,24.175
A Jayasundera,9.75,0
A Julka,0,0
A Jund,10,0
A Kapil,8.642,9.6
A Karn,5.775,32
A Khan,9.09,18.6
A Konwar,7.165,23
A Kumble,6.933333333,25.26666667
A Kush,10.665,4.5
A Lyth,3.76,7.3125
A Malhotra,0,0
A Mallick,3,0
A Mandhani,15,0
A Mangaraj,8.43,11.5
A Mannu,2.125,12
A Maparura,7,0
A Maregwede,0,0
A Martin,6.63,34.08
A Mazzoncini,0,0
A McGrath,8.9025,18.4
A Mehmood,8.25,6
A Mgijima,4.9125,8
A Mishra,7.387,16.8
A Mithun,8.387142857,18.64285714
A Mnci,0,0
A Mohammed,0,0
A Mukund,2.041666667,3.1
A Mutumbami,11,0
A Myoli,7.64,39
A Nehra,7.556666667,17.97777778
A Nel,7.0325,38.275
A Nortje,6.96,29.4
A Ollewagen,6.66,9
A Parashar,0,0
A Parkar,9.5,12
A Phillip,10,24
A Poulose,0,0
A Prakash,12,0
A Pratap Singh,4.935,16.8
A Premaratne,9.203333333,2.533333333
A Rajp,7.55,17.4
A Rakesh,0,0
A Rana,0,0
A Rasemene,5,10
A Rasool,6.675,8.75
A Ratra,0,0
A Rawat,5,0
A Richardson,7.083333333,18.8
A Rideegammanagedera,10.7,13.5
A Roberts,6,0
A Sakuja,4.873333333,21.96666667
A Sanford,6.84,16.6
A Shahzad,8.032857143,26.68571429
A Sheikh,7.09,24
A Singh,7.583333333,18.5
A Sinha,6.521666667,34.91666667
A Symonds,9.7025,19.8
A Thilanchana,6.165,0
A Thyagarajan,0,0
A Uniyal,11,18
A Vala,5.5725,15.15
A Verma,11.3575,7.5
A Zampa,7.45,23.88
A Ziraba,0,0
AA Ansari,8.116666667,20.83333333
AA Barot,0,0
AA Bhandari,6.498,18.74
AA Bilakhia,0,0
AA Chavan,9.34,14.2
AA Darekar,7.816666667,13.88333333
AA Das,0,0
AA Gani,7.323333333,15.03333333
AA Herwadkar,0,0
AA Inham,0,0
AA Jhunjhunwala,8.44,19.5
AA Joshi,8.783333333,6
AA Kazi,9.135,13.5
AA Khod,0,0
AA Malek,0,0
AA Mulla,0,0
AA Muzumdar,0,0
AA Nandi,6.85,12.33333333
AA Noffke,7.623333333,19.4
AA Obanda,0,0
AA Sanklecha,8.13,17.4
AA Sarwate,8,42
AA Sheth,9.915,15
AA Singh,0,0
AA Waghmode,2.75,4
AA Wakhare,7.798,13.52
AAA Amsterdam,7.66,18
AAAP Dias,0,0
Aamer Ijaz,0,0
Aamer Sajjad,1.5,1.5
Aamer Shehzad,3.75,24
Aamer Yamin,9.044,14
Aamir Kaleem,7.996666667,29.33333333
Aaqib Sulehri,0,0
Aariz Kamal,10.5,0
AAS de Alwis,9.616666667,24.2
AAS Silva,6.57,14.08333333
AB Agarkar,8.418333333,20.88333333
AB Barath,0,0
AB Chawla,7.03,23.2
AB de Villiers,0,0
AB Dinda,7.724444444,22.6
AB Emmanuel,4.3,15
AB Fudadin,5.165,9
AB McDonald,7.472222222,14.71111111
AB Patel,11.25,24
AB Sagar,7.25,6
AB Sharma,0,0
AB Sonkar,5.36,20.8
AB Tanwar,9,0
AB Zala,6.83,36
Abdul Ameer,9.33,21.4
Abdul Ghaffar,6,0
Abdul Jabbar,7.25,0
Abdul Majeed,0,0
Abdul Manan,9.5,0
Abdul Qadir,7.5,24
Abdul Rauf,0,0
Abdul Razzaq,7.468333333,14.18333333
Abdul Rehman,4.33,7.2
Abdul Shakoor,5.48,5.625
Abdullah Al Mamun,0,0
Abdullah Jan,0,0
Abdullah Mazari,13.09,0
Abdur Rauf,8.825714286,19.85714286
Abdur Razzak,7.4175,16.775
Abdur Rehman,6.476666667,37.71111111
Abhinav Kumar,0,0
Abhishek Bhat,8.66,30
Abhishek Yadav,7.44,29
Abid Ali,2.665,9.166666667
Abid Nabi,7.0325,36.9
Abid Salam,5,24
ABT Lakshitha,7.88,15.125
Abu Hider,8.09,17.5
Abu Jayed,6.93,15
Abubakar Khan,0,0
Abul Hasan,9.76,19.33333333
ABW Bobb,7.33,18
AC Agar,9.1175,14.9
AC Bird,10.05666667,19.83333333
AC Blizzard,1.111111111,0
AC Botha,3.426666667,7.266666667
AC Douglas,7,8
AC Evans,6.28,15.85
AC Gilchrist,0,0.166666667
AC McDermott,9.113333333,21.05
AC Sharma,0,0
AC Thomas,7.635,17.225
AC Voges,5.891111111,12.3
AC Weththasinghe,12.665,0
ACF Wyatt,7.376666667,4.666666667
ACL Richards,0,0
ACP Mishra,6.2575,12.5
ACR Birch,7.748333333,25.6
AD Akash,0,0
AD Brown,0,0
AD Day,7.7,12
AD Galiem,6.535,14.55
AD Hales,3.375,0
AD Kaushik,0,0
AD Mascarenhas,7.29,17.27142857
AD Mathews,6.663333333,21.48888889
AD Nath,6.665,5.75
AD Poynter,0,0
AD Russell,8.381428571,33.37142857
AD Shanware,0,0
AD Solomons,8.576666667,14.13333333
AD Thomason,11.33,18
AD Weerasuriya,0,0
AD Yadav,6.8,10
ADC Silva,0,0
Adeel Malik,5.362222222,21.51111111
Adil Amin,6.632,20.5
Adil Bhatti,8.05,30.65
Adil Gulbahar,0,0
Adil Raza,7.35,28
Adil Reshi,3.25,0
Adnan Akmal,0,0
Adnan Baig,0,0
Adnan Ilyas,0,0
Adnan Malik,9.75,12
Adnan Mufti,0,0
Adnan Raees,0.92625,0
Adnan Rasool,7.708333333,12.45
Adnan Raza,0,0
ADS Fletcher,1.111111111,0
AE Hall,0,0
AE Kula,6.27,8.625
AE Proverbs,0,0
AE Willett,5.57,14
AEN Riley,8.508,22.8
AF Buurman,0,0
AF Erasmus,10,0
AF Ifill,3.66,0
AF Milne,8.111428571,24.4
Afaq Ahmed,10.33,0
Afaq Raheem,5.35,3.857142857
Afraz Khoso,6.75,14.4
Afroz Khan,7.885,16.1
Afsar Nawaz,1,0
Afsar Zazai,0,0
Aftab Ahmed,9.295,10.36666667
Aftab Alam,6.73,6.6
Aftab Niazi,0,0
Aftabuddin Alam,0,0
AG Botha,6.5,21.875
AG Cremer,6.371428571,23.71428571
AG Jungade,8.782,27.5
AG Murtaza,6.363333333,18.1
AG Paunikar,0,0
AG Pradeep,0,0
AG Praveen,6.63,34.05
AG Prince,0,0
AG Puttick,0,0
AG Salter,10.75,15.13333333
AG Wakely,4.142857143,0
AG Wharf,10.095,24.6
Agha Sabir,17.14,0
Agha Salman,3.62,18.73333333
AGK Silva,8.75,24
AGS Gous,0,0
AH Gupta,0,0
AH Hooda,7.346,19.46
AH Kawaja,0,0
AH Razak,5.846666667,11.2
AH Shahid,7.15,15
AHJ Huisamen,0,0
Ahmed Bashir,6.87,19.3
Ahmed Butt,6,0
Ahmed Dar,0,0
Ahmed Hayat,9,9
Ahmed Jamal,8.783333333,29.23333333
Ahmed Rasheed,0,0
Ahmed Raza,8.242222222,25
Ahmed Said,0,0
Ahmed Shah,0,0
Ahmed Shehzad,6.758888889,8.833333333
Ahmed Zeeshan,0,0
Ahsan Ali,0,0
Ahsan Jamil,11,0
Ahsan Kareem,12,0
Ahsan Malik,7.118,18.2
AHT Donald,0,0
AI Ross,0,0
Aizaz Cheema,7.3925,15.8875
Aizaz Khan,7.034,18.42
AJ Ball,8.786,20.14
AJ Blake,0,0
AJ Crosthwaite,0,0
AJ Dibble,5.5,24
AJ Doolan,0,0
AJ Finch,7.28,10.875
AJ Hall,6.365,10.51666667
AJ Harris,7.115,14.8
AJ Hodd,0,0
AJ Hose,0,0
AJ Hosein,4.706666667,26.66666667
AJ Ireland,9.241666667,16.85
