A Absolem,0,0,6
A Alam,33,137.5,7
A Ashish Reddy,12.48875,134.98,9
A Aswin Crist,27,90,5
A Ayre,0,0,6
A Bagai,23.175,89.12,1
A Balbirnie,8.276666667,61.17,7
A Bali,24.0575,113.43,6
A Baloria,17.33,98.11,5
A Bhatt,12.8,98.46,5
A Bhattarai,0.666666667,22.22,6
A Bonora,21.8,99.175,7
A Bramble,8.75,107.69,2
A Carter,0,25,3
A Chandila,7.915,78.7875,2
A Chopra,21.3675,85.1025,6
A Choudhary,6.333333333,53.17,7
A Dananjaya,6.1,23.18,1
A Dey,11,51.56,6
A Engelbrecht,2.5,71.42,9
A Eusebe,0,0,8
A Ferreira,0,0,5
A Flintoff,22.4975,134.745,5
A Gqamane,16.35,133.14,1
A Jacobs,10.448,84.238,7
A Jadhav,0,0,8
A Javid,22.45,115.3175,7
A Jayasundera,15.5,99.085,6
A Julka,44,144.26,1
A Jund,0,200,5
A Kapil,5.566,114.586,4
A Karn,2,28.57,7
A Khan,2.666666667,69.79666667,7
A Konwar,0.5,50,5
A Kumble,7.833333333,71.52,6
A Kush,0,35,5
A Lyth,16.19,107.62,0
A Malhotra,24,120,0
A Mallick,19.375,103.495,3
A Mandhani,5,166.66,5
A Mangaraj,0.5,75,5
A Mannu,18.665,125.38,1
A Maparura,0,0,7
A Maregwede,27.08333333,98.28333333,4
A Martin,0.4,8,8
A Mazzoncini,0,35.71,3
A McGrath,33.2425,110.505,8
A Mehmood,0,0,5
A Mgijima,13,100.6525,1
A Mishra,12.208,86.618,6
A Mithun,4.471428571,95.51428571,6
A Mnci,0,0,6
A Mohammed,21,70,0
A Mukund,28.43333333,105.9033333,8
A Mutumbami,0,250,6
A Myoli,0,46.02666667,6
A Nehra,4.267777778,48.32777778,1
A Nel,10.415,136.2925,6
A Nortje,0,0,6
A Ollewagen,0,0,8
A Parashar,17.5,94.59,1
A Parkar,0,125,5
A Phillip,0,0,1
A Poulose,10.41666667,161.62,1
A Prakash,0,0,1
A Pratap Singh,0,0,6
A Premaratne,0,48.71666667,5
A Rajp,11.8,120.4,1
A Rakesh,7.75,57.29,5
A Rana,1.833333333,25.61333333,6
A Rasemene,0,0,5
A Rasool,3.665,45.83,6
A Ratra,12.8325,91.5975,0
A Rawat,34.6,110.89,7
A Richardson,0,0,6
A Rideegammanagedera,8.165,68.87,6
A Roberts,0,0,1
A Sakuja,5.666666667,74.44333333,1
A Sanford,0,0,1
A Shahzad,6.937142857,95.41,1
A Sheikh,5.25,52.5,6
A Singh,1.776666667,42.94666667,0
A Sinha,10.63833333,83.45,1
A Symonds,38.49,131.21,1
A Thilanchana,9.165,100.83,6
A Thyagarajan,86,110.25,1
A Uniyal,4,57.14,1
A Vala,17.1925,93.6725,7
A Verma,0.3325,70.535,9
A Zampa,3.238,92.716,9
A Ziraba,7.6,49.44666667,7
AA Ansari,17.33333333,150.0866667,3
AA Barot,28.475,117.57,6
AA Bhandari,13.12,120.24,2
AA Bilakhia,15,81.32,5
AA Chavan,5.982,131.52,6
AA Darekar,7.166666667,49.87333333,9
AA Das,13.3725,64.32,8
AA Gani,8.5,77.12,1
AA Herwadkar,11.755,112.83,5
AA Inham,0,116.66,6
AA Jhunjhunwala,16.9775,97.695,1
AA Joshi,11.77666667,114.66,1
AA Kazi,0,72.22,4
AA Khod,14.2,97.26,9
AA Malek,25,89.435,6
AA Mulla,2.75,57.89,7
AA Muzumdar,15.08,88.615,6
AA Nandi,18.21666667,62.82833333,1
AA Noffke,15.81,136.4633333,6
AA Obanda,24.22571429,104.0157143,1
AA Sanklecha,7,155.55,6
AA Sarwate,2,66.66,0
AA Sheth,0,0,6
AA Singh,10.9775,95.825,6
AA Waghmode,26.22166667,117.935,6
AA Wakhare,2.5,58.752,6
AAA Amsterdam,22.5,86.53,7
AAAP Dias,0,100,2
Aamer Ijaz,14.16,100,6
Aamer Sajjad,16.8325,77.705,7
Aamer Shehzad,2,25,5
Aamer Yamin,16.85,110.348,1
Aamir Kaleem,17.61666667,110.42,8
Aaqib Sulehri,7.165,107.45,1
Aariz Kamal,0,0,6
AAS de Alwis,20.5,184.5266667,6
AAS Silva,8,39.22833333,2
AB Agarkar,17.075,120.7266667,4
AB Barath,26.698,114.066,0
AB Chawla,4.25,47.22,6
AB de Villiers,32.72888889,140.4466667,1
AB Dinda,3.75,53.18777778,1
AB Emmanuel,9,81.81,2
AB Fudadin,25.875,87.5,6
AB McDonald,22.07444444,101.0677778,6
AB Patel,0,0,7
AB Sagar,0,0,8
AB Sharma,2,28.57,6
AB Sonkar,1,18.18,4
AB Tanwar,0,0,7
AB Zala,0,0,7
Abdul Ameer,1.5,56.665,7
Abdul Ghaffar,0,0,7
Abdul Jabbar,0,100,5
Abdul Majeed,16,88.88,1
Abdul Manan,0,14.28,6
Abdul Qadir,0,0,6
Abdul Rauf,5,29.41,6
Abdul Razzaq,25.78166667,127.88,5
Abdul Rehman,5.31,65.585,8
Abdul Shakoor,19.24,103.365,1
Abdullah Al Mamun,10,43.475,9
Abdullah Jan,7,77.77,1
Abdullah Mazari,0,0,2
Abdur Rauf,4.678571429,69.10142857,6
Abdur Razzak,6.645,60.7925,6
Abdur Rehman,5.73,80.18333333,6
Abhinav Kumar,56,186.66,5
Abhishek Bhat,1.66,71.42,6
Abhishek Yadav,32.5,116.07,5
Abid Ali,19.39416667,94.21666667,8
Abid Nabi,12.1375,126.2625,3
Abid Salam,0,0,5
ABT Lakshitha,4.875,58.7575,5
Abu Hider,7,205.71,4
Abu Jayed,0,0,6
Abubakar Khan,0,0,1
Abul Hasan,7.6,93.96,8
ABW Bobb,65,106.55,7
AC Agar,17.7675,111.6825,5
AC Bird,9.333333333,56.20666667,7
AC Blizzard,22.72777778,133.5255556,2
AC Botha,20.44333333,114.82,1
AC Douglas,9.83,101.72,7
AC Evans,0.5,12.5,6
AC Gilchrist,28.71333333,137,1
AC McDermott,1,25,6
AC Sharma,3.5,77.77,5
AC Thomas,11.21125,108.90625,2
AC Voges,37.62888889,124.7744444,6
AC Weththasinghe,2,44.44,8
ACF Wyatt,0,0,9
ACL Richards,9.5,67.455,1
ACP Mishra,4.75,87.4975,5
ACR Birch,10.08333333,74.235,6
AD Akash,12.5,113.63,1
AD Brown,22.08333333,143.08,6
AD Day,13,83.87,5
AD Galiem,9.25,73.21,6
AD Hales,26.0675,133.66375,4
AD Kaushik,22.90333333,105.08,1
AD Mascarenhas,15.32,125.4642857,1
AD Mathews,23.66555556,117.4177778,6
AD Nath,16.94,107.82,1
AD Poynter,13.952,88.394,1
AD Russell,22.43428571,158.62,7
AD Shanware,23,95.83,6
AD Solomons,21.49666667,140.04,0
AD Thomason,4,70.58,6
AD Weerasuriya,21.25,108.97,1
AD Yadav,0,0,6
ADC Silva,3,50,1
Adeel Malik,15.31444444,126.94,5
Adil Amin,26.314,115.948,1
Adil Bhatti,8.81,94.385,1
Adil Gulbahar,15.66,78.33,8
Adil Raza,0,100,1
Adil Reshi,12.6125,90.5475,7
Adnan Akmal,5.483333333,71.67,3
Adnan Baig,11.5,66.485,0
Adnan Ilyas,20.45333333,115.3866667,0
Adnan Malik,0,0,6
Adnan Mufti,11.5,102.22,0
Adnan Raees,26.7625,115.375,1
Adnan Rasool,9.5,58.52666667,6
Adnan Raza,10.88666667,82.63333333,6
ADS Fletcher,30.85444444,111.1711111,0
AE Hall,2,25,7
AE Kula,0.5,41.665,7
AE Proverbs,1,20,8
AE Willett,23,153.33,6
AEN Riley,1.5,73.362,1
AF Buurman,3,56.25,4
AF Erasmus,5,55.55,1
AF Ifill,12,92.3,2
AF Milne,3.5,107.3557143,8
Afaq Ahmed,0,150,0
Afaq Raheem,24.63857143,104.9214286,5
Afraz Khoso,7,100,8
Afroz Khan,10.5,92.73,6
Afsar Nawaz,6.97,107.4033333,6
Afsar Zazai,9,42.85,1
Aftab Ahmed,8.626666667,85.48333333,6
Aftab Alam,10.59375,55.39375,2
Aftab Niazi,12.5,80.64,4
Aftabuddin Alam,9.5,79.16,9
AG Botha,18.67,122.3025,4
AG Cremer,13.13857143,91.07285714,1
AG Jungade,6.6,69.332,5
AG Murtaza,4.583333333,70.35166667,7
AG Paunikar,19.11666667,123.2066667,3
AG Pradeep,18.53666667,103.2066667,7
AG Praveen,18.5,69.7175,1
AG Prince,27.73,116.11,8
AG Puttick,25.69625,102.985,7
AG Salter,18.75,110.7666667,3
AG Wakely,26.76857143,119.03,6
AG Wharf,8,102.08,7
Agha Sabir,27,135,3
Agha Salman,10.5,82.42333333,6
AGK Silva,0,0,6
AGS Gous,25.83,137.3966667,0
AH Gupta,22.1,84.328,5
AH Hooda,0.432,24.444,0
AH Kawaja,9.5,43.18,6
AH Razak,7.11,94.77333333,1
AH Shahid,0,0,8
AHJ Huisamen,6.5,81.25,2
Ahmed Bashir,0,133.33,1
Ahmed Butt,5.625,63.75,1
Ahmed Dar,20.66,131.91,9
