A Absolem,5.725,20.8,7
A Alam,6.66,54,5
A Ashish Reddy,8.39,17.5,3
A Aswin Crist,6.82,11.3,5
A Ayre,0,0,4
A Bagai,0,0,5
A Balbirnie,0,0,1
A Bali,6.8775,10.075,1
A Baloria,7.33,27,1
A Bhatt,0,0,2
A Bhattarai,4.56,20,1
A Bonora,0,0,5
A Bramble,0,0,1
A Carter,8.404,12.96,2
A Chandila,6.4975,19.725,1
A Chopra,0,0,8
A Choudhary,7.03,19.96666667,1
A Dananjaya,6.72,21.34,1
A Dey,0,0,1
A Engelbrecht,8.05,22.8,2
A Eusebe,8.5,36,8
A Ferreira,0,0,5
A Flintoff,8.955,21.825,5
A Gqamane,10.408,33.08,8
A Jacobs,4.342,4.2,1
A Jadhav,0,0,0
A Javid,7.44,24.175,9
A Jayasundera,9.75,0,0
A Julka,0,0,8
A Jund,10,0,8
A Kapil,8.642,9.6,9
A Karn,5.775,32,7
A Khan,9.09,18.6,9
A Konwar,7.165,23,9
A Kumble,6.933333333,25.26666667,1
A Kush,10.665,4.5,5
A Lyth,3.76,7.3125,8
A Malhotra,0,0,2
A Mallick,3,0,8
A Mandhani,15,0,8
A Mangaraj,8.43,11.5,2
A Mannu,2.125,12,1
A Maparura,7,0,2
A Maregwede,0,0,8
A Martin,6.63,34.08,1
A Mazzoncini,0,0,3
A McGrath,8.9025,18.4,1
A Mehmood,8.25,6,8
A Mgijima,4.9125,8,8
A Mishra,7.387,16.8,1
A Mithun,8.387142857,18.64285714,2
A Mnci,0,0,2
A Mohammed,0,0,1
A Mukund,2.041666667,3.1,2
A Mutumbami,11,0,1
A Myoli,7.64,39,1
A Nehra,7.556666667,17.97777778,1
A Nel,7.0325,38.275,1
A Nortje,6.96,29.4,5
A Ollewagen,6.66,9,2
A Parashar,0,0,1
A Parkar,9.5,12,7
A Phillip,10,24,8
A Poulose,0,0,9
A Prakash,12,0,7
A Pratap Singh,4.935,16.8,2
A Premaratne,9.203333333,2.533333333,8
A Rajp,7.55,17.4,1
A Rakesh,0,0,1
A Rana,0,0,0
A Rasemene,5,10,8
A Rasool,6.675,8.75,1
A Ratra,0,0,1
A Rawat,5,0,2
A Richardson,7.083333333,18.8,8
A Rideegammanagedera,10.7,13.5,1
A Roberts,6,0,2
A Sakuja,4.873333333,21.96666667,8
A Sanford,6.84,16.6,9
A Shahzad,8.032857143,26.68571429,0
A Sheikh,7.09,24,1
A Singh,7.583333333,18.5,1
A Sinha,6.521666667,34.91666667,0
A Symonds,9.7025,19.8,4
A Thilanchana,6.165,0,1
A Thyagarajan,0,0,5
A Uniyal,11,18,5
A Vala,5.5725,15.15,2
A Verma,11.3575,7.5,1
A Zampa,7.45,23.88,8
A Ziraba,0,0,8
AA Ansari,8.116666667,20.83333333,1
AA Barot,0,0,1
AA Bhandari,6.498,18.74,1
AA Bilakhia,0,0,2
AA Chavan,9.34,14.2,1
AA Darekar,7.816666667,13.88333333,1
AA Das,0,0,5
